date,stream,swe_mm_we,snow_density_kg_m3
2003-09-03,final,0.000000,100.0000
2003-09-04,final,0.000000,100.0000
2003-09-05,final,0.000000,100.0000
2003-09-06,final,0.000000,100.0000
2003-09-07,final,0.000000,100.0000
2003-09-08,final,0.004205,100.8249
2003-09-09,final,0.002136,100.2427
2003-09-10,final,0.170654,103.0873
2003-09-11,final,0.476916,110.8711
2003-09-12,final,0.360436,108.0783
2003-09-13,final,0.272654,110.8305
2003-09-14,final,0.839644,113.7717
2003-09-15,final,0.517311,111.0414
2003-09-16,final,0.229045,108.7021
2003-09-17,final,0.078932,106.0410
2003-09-18,final,0.234739,119.1031
2003-09-19,final,0.164855,111.2937
2003-09-20,final,0.075057,108.2450
2003-09-21,final,0.025731,103.7763
2003-09-22,final,0.009769,101.9006
2003-09-23,final,0.000842,100.3170
2003-09-24,final,0.000000,100.0000
2003-09-25,final,0.000000,100.0000
2003-09-26,final,0.000000,100.0000
2003-09-27,final,0.000000,100.0000
2003-09-28,final,0.000000,100.0000
2003-09-29,final,0.000000,100.0000
2003-09-30,final,0.000000,100.0000
