group,water_years,month,month_number,slot,cell_id,merra_latitude,merra_longitude,pooled_modis_fsca_fraction,masked_modis_fsca_below_0_1,normalized_mean_bias_pct,mean_annual_nmb_pct,n_water_years,degrees_of_freedom,t_statistic,two_sided_p_value,two_sided_p_lt_0_05
Wet,"2011,2017,2019,2023",November,11,52,MERRA2_i260_j118,40.0,-106.25,0.42998707708631173,False,-31.203077938580414,-31.964879222361606,4,3,-1.9656754828035818,0.14405261714476142,False
Wet,"2011,2017,2019,2023",November,11,53,MERRA2_i260_j119,40.0,-105.625,0.4759600326099743,False,-51.71567075902635,-54.75525375541987,4,3,-5.434965728198086,0.012227294705072932,True
Wet,"2011,2017,2019,2023",November,11,54,MERRA2_i260_j120,40.0,-105.0,0.03500847409904799,True,31.027784127856552,4130.55070273622,4,3,,,False
Wet,"2011,2017,2019,2023",November,11,55,MERRA2_i260_j121,40.0,-104.375,0.006896698529832272,True,198.20253072767676,110.50383155442823,2,1,,,False
Wet,"2011,2017,2019,2023",November,11,56,MERRA2_i261_j114,40.5,-108.75,0.20162806489962873,False,-78.35149769249936,-72.60854000939801,4,3,-13.609328007285551,0.0008581893317377744,True
Wet,"2011,2017,2019,2023",November,11,57,MERRA2_i261_j115,40.5,-108.125,0.2561100942065649,False,-70.83708979749255,26.749103157018958,4,3,0.29907771947832257,0.7844024611537569,False
Wet,"2011,2017,2019,2023",November,11,58,MERRA2_i261_j116,40.5,-107.5,0.19530967047539483,False,15.82961797658611,51.17433167266907,4,3,0.6804620788519876,0.5450225881133471,False
Wet,"2011,2017,2019,2023",November,11,59,MERRA2_i261_j117,40.5,-106.875,0.4492483338753141,False,-48.06404714561746,-48.97831111878288,4,3,-6.982518392271459,0.006029230495574708,True
Wet,"2011,2017,2019,2023",November,11,60,MERRA2_i261_j118,40.5,-106.25,0.47099740823742064,False,-18.35238430256215,-20.46110412910817,4,3,-1.198511728854663,0.31676198518429327,False
Wet,"2011,2017,2019,2023",November,11,61,MERRA2_i261_j119,40.5,-105.625,0.4149539242123075,False,-29.563763845238284,-35.87305954711909,4,3,-2.2592511813677256,0.109001375952763,False
Wet,"2011,2017,2019,2023",November,11,62,MERRA2_i261_j120,40.5,-105.0,0.014785449171596797,True,229.8619156943457,874.657608352427,4,3,,,False
Wet,"2011,2017,2019,2023",November,11,63,MERRA2_i261_j121,40.5,-104.375,0.0005119721068093815,True,4155.868963666924,40430.062093788605,3,2,,,False
Wet,"2011,2017,2019,2023",November,11,64,MERRA2_i262_j114,41.0,-108.75,0.2471710223491749,False,-71.40409867765456,-50.864510772284675,4,3,-2.959851515770674,0.059551084903364096,False
Wet,"2011,2017,2019,2023",November,11,65,MERRA2_i262_j115,41.0,-108.125,0.2837665399715135,False,-68.58923442662899,10.574991203142048,4,3,0.18234917737340667,0.8669348814735498,False
Wet,"2011,2017,2019,2023",November,11,66,MERRA2_i262_j116,41.0,-107.5,0.32928733295849094,False,-37.275276068834025,-14.480811226795996,4,3,-0.6143817939940769,0.5824165796572891,False
Wet,"2011,2017,2019,2023",November,11,67,MERRA2_i262_j117,41.0,-106.875,0.5466637396347539,False,-36.696390211271975,-42.99633325795735,4,3,-2.4576219669481536,0.09105981716439407,False
Wet,"2011,2017,2019,2023",November,11,68,MERRA2_i262_j118,41.0,-106.25,0.373502272365839,False,-1.7703322997020101,-2.5793022082704544,4,3,-0.14965850793566926,0.8905291721503786,False
Wet,"2011,2017,2019,2023",November,11,69,MERRA2_i262_j119,41.0,-105.625,0.2668736186999986,False,-2.26108920993923,0.18303382679609292,4,3,0.005672985988408937,0.995829788359162,False
Wet,"2011,2017,2019,2023",November,11,70,MERRA2_i262_j120,41.0,-105.0,0.032997136378217294,True,105.59856738430047,306.75319659683186,4,3,,,False
Wet,"2011,2017,2019,2023",November,11,71,MERRA2_i262_j121,41.0,-104.375,0.023984745792879476,True,45.966802260225414,801.2065301221354,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,0,MERRA2_i254_j114,37.0,-108.75,0.07920069812964588,True,42.48681549981525,133.1850365416916,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,1,MERRA2_i254_j115,37.0,-108.125,0.14740217156343532,False,-3.043635873464954,6.427155102804834,4,3,0.25610133330377555,0.8144296166272826,False
Wet,"2011,2017,2019,2023",December,12,2,MERRA2_i254_j116,37.0,-107.5,0.20996340451284293,False,-17.699519255143652,-16.014210894179573,4,3,-0.7409118195767918,0.5124703129290791,False
Wet,"2011,2017,2019,2023",December,12,3,MERRA2_i254_j117,37.0,-106.875,0.5320812445583915,False,-44.044955251640516,-46.25937072885142,4,3,-2.7449792707968292,0.07104076011378241,False
Wet,"2011,2017,2019,2023",December,12,4,MERRA2_i254_j118,37.0,-106.25,0.6021870044875992,False,-39.36437746983428,-43.36447913195574,4,3,-2.602347227666552,0.0802130040982622,False
Wet,"2011,2017,2019,2023",December,12,5,MERRA2_i254_j119,37.0,-105.625,0.26428707667133206,False,-31.869668651095314,-19.65377237552744,4,3,-0.869855824464106,0.4483859552815878,False
Wet,"2011,2017,2019,2023",December,12,6,MERRA2_i254_j120,37.0,-105.0,0.28408522863433766,False,-50.30321917179337,-48.231230357829254,4,3,-3.270683541823005,0.04675291737710995,True
Wet,"2011,2017,2019,2023",December,12,7,MERRA2_i254_j121,37.0,-104.375,0.07341292255604968,True,-49.07402195696455,-33.59767011516406,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,8,MERRA2_i255_j114,37.5,-108.75,0.37447718596893376,False,-48.87907225303714,-42.867035742836926,4,3,-4.202117825938538,0.024599216580698524,True
Wet,"2011,2017,2019,2023",December,12,9,MERRA2_i255_j115,37.5,-108.125,0.6914038369862598,False,-27.88679008759363,-28.521308596289398,4,3,-2.4779214146504267,0.08943438744612604,False
Wet,"2011,2017,2019,2023",December,12,10,MERRA2_i255_j116,37.5,-107.5,0.7260906247182812,False,-21.112605602676187,-22.361957661937424,4,3,-2.2441812864240314,0.11053223946927801,False
Wet,"2011,2017,2019,2023",December,12,11,MERRA2_i255_j117,37.5,-106.875,0.7568475173430717,False,-27.791688835866083,-29.733794118277615,4,3,-2.0336857344824995,0.13486410970190976,False
Wet,"2011,2017,2019,2023",December,12,12,MERRA2_i255_j118,37.5,-106.25,0.3462088993669732,False,-12.067915590729072,-16.738173406087128,4,3,-1.1829914113820055,0.3220229645103423,False
Wet,"2011,2017,2019,2023",December,12,13,MERRA2_i255_j119,37.5,-105.625,0.2201443306724857,False,-22.82601950230801,-15.270897786343944,4,3,-0.8664287543237122,0.4499951278549423,False
Wet,"2011,2017,2019,2023",December,12,14,MERRA2_i255_j120,37.5,-105.0,0.2867186596685747,False,-51.334360237384814,-49.397347496056526,4,3,-3.735146955462385,0.03345605786742292,True
Wet,"2011,2017,2019,2023",December,12,15,MERRA2_i255_j121,37.5,-104.375,0.057946490753904165,True,-41.27183473197233,342.58202314981946,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,16,MERRA2_i256_j114,38.0,-108.75,0.29953904969641276,False,-27.172840636557304,-23.235176175638205,4,3,-2.1751471239925966,0.1178847253615368,False
Wet,"2011,2017,2019,2023",December,12,17,MERRA2_i256_j115,38.0,-108.125,0.726567876345935,False,-27.292306475303448,-24.658126103623665,4,3,-2.114034549592894,0.12488753700813862,False
Wet,"2011,2017,2019,2023",December,12,18,MERRA2_i256_j116,38.0,-107.5,0.8155093730143796,False,-4.998234014237122,-4.540189842908207,4,3,-0.6940559286221372,0.5375633745815777,False
Wet,"2011,2017,2019,2023",December,12,19,MERRA2_i256_j117,38.0,-106.875,0.7337203587055785,False,-21.623769808692746,-21.617826602992416,4,3,-1.6318410796559497,0.20121375076574766,False
Wet,"2011,2017,2019,2023",December,12,20,MERRA2_i256_j118,38.0,-106.25,0.2858966528303548,False,-13.393513367673453,-6.686016337657216,4,3,-0.3195748827069657,0.7702521867629528,False
Wet,"2011,2017,2019,2023",December,12,21,MERRA2_i256_j119,38.0,-105.625,0.28255522857630555,False,-46.66806269600409,-50.657571496284035,4,3,-6.747544652707726,0.006648399485154447,True
Wet,"2011,2017,2019,2023",December,12,22,MERRA2_i256_j120,38.0,-105.0,0.131217796036348,False,-32.54132151428879,-11.125305773950917,4,3,-0.3736693197237809,0.7334949943653033,False
Wet,"2011,2017,2019,2023",December,12,23,MERRA2_i256_j121,38.0,-104.375,0.029047725361196212,True,-15.063982987838086,-6.496795897796279,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,24,MERRA2_i257_j114,38.5,-108.75,0.34728868961407267,False,-44.56305669634977,-45.63140415488749,4,3,-7.2819538608263334,0.00534566054211848,True
Wet,"2011,2017,2019,2023",December,12,25,MERRA2_i257_j115,38.5,-108.125,0.3354502297690236,False,-32.37894571391544,-33.57281199840765,4,3,-2.8132308537327115,0.06711302555819748,False
Wet,"2011,2017,2019,2023",December,12,26,MERRA2_i257_j116,38.5,-107.5,0.7119727763435695,False,-39.37963270686001,-44.10226125585595,4,3,-2.7857314750153814,0.06866222026221275,False
Wet,"2011,2017,2019,2023",December,12,27,MERRA2_i257_j117,38.5,-106.875,0.7524902643109901,False,-32.68225070238683,-29.20637229001109,4,3,-1.6887399264089706,0.18985200812153397,False
