month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,two_sided_p_value,benjamini_hochberg_two_sided_q_value,raw_two_sided_p_lt_0_05,bh_two_sided_q_lt_0_05,water_years,alternative
December,12,1,MERRA2_i254_j115,37.0,-108.125,1943.8017920771688,14,13,-4.360522042349062,-1.7718043897609634,0.0998499228735144,0.1276567965803264,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,2,MERRA2_i254_j116,37.0,-107.5,2055.221174798817,14,13,-12.466357301717794,-3.462516349283166,0.0042058568854400616,0.009768441798441434,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,3,MERRA2_i254_j117,37.0,-106.875,2446.972072853058,14,13,-25.460820340417197,-5.196038688384011,0.0001722741251652532,0.0007752335632436394,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,4,MERRA2_i254_j118,37.0,-106.25,2832.8863690295047,14,13,-26.35880698464207,-6.3409449291518625,2.572180776259217e-05,0.0002510551848915703,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,5,MERRA2_i254_j119,37.0,-105.625,2523.8219254802293,14,13,-21.699085988337163,-3.638685717235834,0.003001497215338887,0.007718135696585709,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,6,MERRA2_i254_j120,37.0,-105.0,2658.6252219488133,14,13,-19.773746423803342,-5.424063617980811,0.00011625614511494929,0.0006438801883289499,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,7,MERRA2_i254_j121,37.0,-104.375,2096.9248310645203,14,13,-12.277737325923843,-3.4453647309066455,0.0043466251923565125,0.009779906682802153,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,8,MERRA2_i255_j114,37.5,-108.75,2020.9130825493096,14,13,-13.641927732742172,-4.903814089080799,0.00028813440180569625,0.0010918777331584278,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,9,MERRA2_i255_j115,37.5,-108.125,2698.1766625195414,14,13,-17.515201956880173,-4.77017498149112,0.0003659144964933471,0.0013172921873760494,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,10,MERRA2_i255_j116,37.5,-107.5,2987.0102242346966,14,13,-16.8836637274868,-4.419626393542414,0.0006921986888205159,0.002250619372340457,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,11,MERRA2_i255_j117,37.5,-106.875,3049.4010293297697,14,13,-20.221426963771673,-4.3990271870247994,0.0007189478550532016,0.002250619372340457,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
