month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,one_sided_p_value_negative,benjamini_hochberg_q_value,raw_p_lt_0_05,bh_q_lt_0_05,water_years,alternative
November,11,65,MERRA2_i262_j115,41.0,-108.125,2027.287763586794,14,13,-12.960972020848272,-2.6305627087459644,0.010382594482460162,0.015573891723690244,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,66,MERRA2_i262_j116,41.0,-107.5,2197.076391058642,14,13,-12.094648092587034,-2.9241293721905817,0.005923095079619258,0.009476952127390813,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,67,MERRA2_i262_j117,41.0,-106.875,2671.1548611205653,14,13,-26.404925530218414,-7.110417582210139,3.963888602610634e-06,2.3783331615663802e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,68,MERRA2_i262_j118,41.0,-106.25,2610.309124740614,14,13,-8.662515114371669,-2.387996401911554,0.01640686197053443,0.023625881237569576,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,69,MERRA2_i262_j119,41.0,-105.625,2436.1333624152535,14,13,-10.261044315200477,-2.3959608442949936,0.016164237786654833,0.023625881237569576,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,70,MERRA2_i262_j120,41.0,-105.0,1930.031616094228,14,13,0.3083118025984626,0.19674320865077047,0.5764645136668578,0.6385453074463656,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,71,MERRA2_i262_j121,41.0,-104.375,1650.6154523714706,14,13,0.22039277071199756,0.2605793876023398,0.6007505528373454,0.6553642394589222,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,0,MERRA2_i254_j114,37.0,-108.75,1683.9430638942265,14,13,4.316205008852735,3.2138030922391017,0.9966075590222302,0.9966075590222301,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,1,MERRA2_i254_j115,37.0,-108.125,1943.8017920771688,14,13,-4.360522042349062,-1.7718043897609634,0.0499249614367572,0.06494819475139413,True,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,2,MERRA2_i254_j116,37.0,-107.5,2055.221174798817,14,13,-12.466357301717794,-3.462516349283166,0.0021029284427200308,0.004884220899220717,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,3,MERRA2_i254_j117,37.0,-106.875,2446.972072853058,14,13,-25.460820340417197,-5.196038688384011,8.61370625826266e-05,0.0003876167816218197,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,4,MERRA2_i254_j118,37.0,-106.25,2832.8863690295047,14,13,-26.35880698464207,-6.3409449291518625,1.2860903881296085e-05,0.00012552759244578514,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,5,MERRA2_i254_j119,37.0,-105.625,2523.8219254802293,14,13,-21.699085988337163,-3.638685717235834,0.0015007486076694435,0.0038590678482928547,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,6,MERRA2_i254_j120,37.0,-105.0,2658.6252219488133,14,13,-19.773746423803342,-5.424063617980811,5.8128072557474646e-05,0.00032194009416447493,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,7,MERRA2_i254_j121,37.0,-104.375,2096.9248310645203,14,13,-12.277737325923843,-3.4453647309066455,0.0021733125961782562,0.0048899533414010765,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,8,MERRA2_i255_j114,37.5,-108.75,2020.9130825493096,14,13,-13.641927732742172,-4.903814089080799,0.00014406720090284812,0.0005459388665792139,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,9,MERRA2_i255_j115,37.5,-108.125,2698.1766625195414,14,13,-17.515201956880173,-4.77017498149112,0.00018295724824667355,0.0006586460936880247,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,10,MERRA2_i255_j116,37.5,-107.5,2987.0102242346966,14,13,-16.8836637274868,-4.419626393542414,0.00034609934441025796,0.0011253096861702284,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,11,MERRA2_i255_j117,37.5,-106.875,3049.4010293297697,14,13,-20.221426963771673,-4.3990271870247994,0.0003594739275266008,0.0011253096861702284,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,12,MERRA2_i255_j118,37.5,-106.25,2650.444743771183,14,13,-11.855341748452132,-2.398696913460722,0.016081682520272762,0.025730692032436418,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,13,MERRA2_i255_j119,37.5,-105.625,2479.4527521812706,14,13,-16.894714683460002,-3.1538820507886207,0.003807256897879851,0.00806242637198086,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,14,MERRA2_i255_j120,37.5,-105.0,2478.100111711585,14,13,-23.34058694387512,-5.944194420022811,2.4350556354379096e-05,0.0001593854597741177,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,15,MERRA2_i255_j121,37.5,-104.375,1791.3043617704584,14,13,-9.415042257406478,-2.0348682052514815,0.03139245669726595,0.044318762396140174,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,16,MERRA2_i256_j114,38.0,-108.75,2054.111282038443,14,13,-10.036776844764601,-2.0726149779375107,0.029325850716439564,0.04222922503167298,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,17,MERRA2_i256_j115,38.0,-108.125,2707.096060061232,14,13,-17.875029835868457,-3.5839994428311077,0.0016661563354373975,0.004136664005223883,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,18,MERRA2_i256_j116,38.0,-107.5,3291.8061166794255,14,13,-13.144184125239267,-2.591510634574714,0.011181614796700903,0.019046551653467674,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,19,MERRA2_i256_j117,38.0,-106.875,3217.4978107489546,14,13,-17.8777752146873,-3.1078870770661533,0.004159749017369539,0.008129837548146572,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,20,MERRA2_i256_j118,38.0,-106.25,2649.126684523041,14,13,-15.80118097855044,-2.8841856523526013,0.006395133249692824,0.01211709457836535,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,21,MERRA2_i256_j119,38.0,-105.625,2662.4914559781278,14,13,-28.472866921004762,-4.9481342253147185,0.00013315855602531629,0.0005326342241012651,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,22,MERRA2_i256_j120,38.0,-105.0,2260.7425293824126,14,13,-17.56250939828462,-4.089346939239915,0.000639206511538616,0.001770110339645398,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,23,MERRA2_i256_j121,38.0,-104.375,1546.8511619427384,14,13,-6.001514116468548,-1.2965006421129677,0.1086727339353719,0.12225682567729339,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,24,MERRA2_i257_j114,38.5,-108.75,2088.296191174692,14,13,-11.419457684223742,-4.123422008539939,0.0005996868249824674,0.0017270980559495061,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,25,MERRA2_i257_j115,38.5,-108.125,2109.257675297577,14,13,-13.298737107202442,-3.1307724348885695,0.003980467086706228,0.008129837548146572,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,26,MERRA2_i257_j116,38.5,-107.5,2560.8038430549223,14,13,-28.065843406845747,-6.64467889606089,8.005436696968589e-06,9.606524036362306e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,27,MERRA2_i257_j117,38.5,-106.875,2784.0967419618746,14,13,-25.828466199116775,-5.142702139947555,9.453406543288963e-05,0.0004003795712451796,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,28,MERRA2_i257_j118,38.5,-106.25,3022.522471682309,14,13,-24.936568496532562,-6.678659562703115,7.59782130314916e-06,9.606524036362306e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,29,MERRA2_i257_j119,38.5,-105.625,2556.213241342755,14,13,-20.733714396954205,-4.155883364556479,0.0005643737154875379,0.0016931211464626136,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,30,MERRA2_i257_j120,38.5,-105.0,1987.37523215676,14,13,-5.399961118839712,-2.322131733539734,0.01855094345167008,0.029036259315657516,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,31,MERRA2_i257_j121,38.5,-104.375,1593.997839292177,14,13,1.1413480299701777,1.2467919942295438,0.8827645894636811,0.8951978935406344,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,32,MERRA2_i258_j114,39.0,-108.75,1930.8552799548654,14,13,-16.321853157166505,-5.198690191544733,8.574052414570827e-05,0.0003876167816218197,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,33,MERRA2_i258_j115,39.0,-108.125,2093.3591225916857,14,13,-7.081644784939381,-1.3447110409481053,0.10085575314360073,0.1174816284668471,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,34,MERRA2_i258_j116,39.0,-107.5,2576.5654673492904,14,13,-18.380550014549396,-3.832878830873963,0.0010368896952418457,0.0027650391873115885,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,35,MERRA2_i258_j117,39.0,-106.875,3225.8618698354226,14,13,-8.193675278255117,-1.3254862868392157,0.10391633315032905,0.11876152360037605,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,36,MERRA2_i258_j118,39.0,-106.25,3220.387264335259,14,13,-8.752622163192637,-1.7367531714284024,0.05302512380137035,0.06582429161549423,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,37,MERRA2_i258_j119,39.0,-105.625,2800.2762848661123,14,13,-28.718419493042266,-4.567051122651481,0.00026422858502598315,0.0009059265772319422,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,38,MERRA2_i258_j120,39.0,-105.0,2490.158779910293,14,13,-23.35472134064226,-5.835466429028392,2.9116856715009915e-05,0.0001747011402900595,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,39,MERRA2_i258_j121,39.0,-104.375,1982.2155673833213,14,13,-7.713746125496255,-2.6975282123126205,0.009139957380268411,0.01645192328448314,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
December,12,40,MERRA2_i259_j114,39.5,-108.75,2085.661016962659,14,13,-22.65313693977451,-7.554488836769144,2.081737138392233e-06,7.922070495869143e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
